Alasan_Membeli_Produk;sentiment
hemat;negative
tertarik;positive
tidak;negative
aplikasi;positive
penawarannya;neutral
dibutuhkan;positive
sudah menggunakan;positive
menarik;positive
tergantung produknya;neutral
promo;positive
tidak berminat;negative
terlihat menyegarkan;positive
sangat menggangu;negative
tidak membutuhkannya;negative
ingin membeli;positive
sesuai kebutuhan;neutral
terkadang;neutral
tidak berguna;negative
bagus;positive
tergantung budget;neutral
tidak ingin;negative
kurang membutuhkan;neutral
digunakan kehidupan sehari hari;positive
tidak tertarik;negative
iya;positive
mahal;negative
keuntungan;positive
ditawarkan;neutral
sudah memakai;neutral
promonya;positive
butuh;positive
subcription pertahun;negative
memakai;positive
investasi;negative
kurang paham;neutral
melihat;neutral
menyebabkan saya menjelajahi;neutral
tidak sampai membeli;negative
terkadang;neutral
gratis;positive
tidak membutuhkan;neutral
keadaannya;neutral
tujuan utama youtube;neutral
menonton music video;negative
tingkat kebutuhan;neutral
kurang tertarik;negative
subcription pertahun;negative
tidak ingin;negative
