Alasan_Menonton_Video;sentiment
iklannya lucu atau lagi bosan aja;positive
terkadang tidak sadar kalau itu iklan kadang melamun kadang diajak ngobrol teman jadi lupa tidak skip iklan;neutral
karena durasi yang ditentukan;positive
menarik yang iklannya tidak lama;neutral
karena tidak bisa di skip;negative
iklan menarik atau informatif atau kadang iklannya juga berupa music video juga jadi sekalian;positive
tidak nonton;negative
saya tidak menonton sampai selesai;neutral
tidak melihat video;negative
tidak ada;negative
tidak;negative
tertarik dengan videografi yang sesuai dengan produk yang digunakan;positive
tidak ada;negative
tidak ada;negative
tidak ada;negative
karena menarik;positive
tidak ada;negative
kalau iklan nya menarik;neutral
kalau ada iklan yang visualnya oke dan unik yang bisa sekalian jadi inspirasi buat kerjaan kaya gojek tokped ovo yang ada ceritanya tapi yang seperti ini jarang haha kalau iklan kaya wix datacamp domestika pinjol auto skip tidak pakai dipikir ;positive
tidak ada;negative
tidak ada;negative
kalau lagi streaming music video tidak pernah di skip ya karena agar viewers nya bertambah;positive
kadang iklannya lucu;positive
ingin segera menonton video yang ingin saya tonton;negative
tidak ada;negative
tidak ada;negative
bosan;negative
iya pengen aja;positive
tidak ada;negative
tidak ada;negative
adsense;positive
tidak ada;negative
tidak ada;negative
kadang kalau ada iklan yang menarik tidak di skip seperti iklan music video iklan mini series tapi selebihnya jika tidak menarik langsung skip;neutral
malas melewati dan memberikan sedikit kontribusi untuk idolnya;positive
karena ingin tahu mengenai isi iklan tersebut;positive
brand ambassadornya bts;positive
kalau iklannya idol k pop ya tidak aku skip ya kali di skip tolong;neutral
kalau iklannya menarik misalnya ada jalan ceritanya yang membuat penasaran;positive
tidak ada;negative
kelamaan sudah penasaran sama music video nya;negative
menafkahi agensi bts;positive
tidak ada;negative
tidak ada;negative
tidak ada;negative
tidak ada;negative
tidak ada;negative
tidak ada;negative
tidak ada;negative
karena terkadang video iklan yang ditampilkan cukup menarik atau terkadang juga karena memang tidak bisa dilewati;neutral
bagi saya iklan tersebut justru tidak akan membuat penonton terpersuasif penonton akan merasa jengkel karena tidak bisa segera langsung menonton video;negative
tidak ada;negative
tidak ada;negative
tidak ada;negative
tidak ada;negative
jika menarik perhatian maka saya tonton hingga habis itu iklan;positive
tergantung jika untuk streaming tidak saya skip;neutral
agar views music video terhitung dan jika iklan tidak lebih dari detik;positive
tidak ada;negative
tidak ada;negative
tidak ada;negative
tidak ada;negative
kadang kalau nonton sampai selesai kalau iklan menarik buat di tonton kalau tidak ya skip;positive
terdapat iklan lotte duty free atau samsung sengaja nonton karena ba nya bts selain itu skip ;positive
isi iklan tersebut menarik;positive
tidak ada;negative
respect ke creator;positive
tidak ada;negative
tidak ada;negative
tertarik;positive
kadang penasaran ada iklan yang di detik awal terasa nanggung lupa skip;neutral
karena iklannya menarik perhatian;positive
